playerID,yearID,stint,Glf,Gcf,Grf
daigots01,1968,1,,,1
daigots01,1973,1,1,,1
daikosh01,1961,1,,,2
daimoka01,1988,1,,1,2
daimoka01,1989,1,3,,
daimoka01,1990,1,,,2
daimoka01,1991,1,7,,1
daimoka01,1992,1,1,,1
daitata01,2001,1,,1,
daitata01,2002,1,,1,
daitata01,2003,1,3,4,
daitata01,2005,1,5,1,
daitata01,2006,1,5,,
daitata01,2007,1,1,1,
alvarda01,2021,1,10,,1
dateya01,1974,1,,1,
vicieda01,2016,1,8,,
brownde01,2010,1,12,,
brownde01,2011,1,8,,
briggda01,1982,1,,53,
briggda01,1983,1,,89,
bussado01,1955,1,60,1,
bufordo01,1973,1,119,4,
bufordo01,1974,1,26,1,
bufordo01,1975,1,36,6,
bufordo01,1976,1,116,,
desadi01,1961,1,,,1
desadi01,1964,1,,,1
degucyu01,1996,1,7,,
degucyu01,2001,1,,,1
degucyu01,2002,1,12,7,18
degucyu01,2003,1,5,16,10
degucyu01,2004,1,8,9,23
degucyu01,2005,1,,,2
deniixx01,1993,1,,1,1
deniixx01,1995,1,,,1
deniixx01,1996,1,1,,
gonzada01,1981,1,2,,2
gonzade01,1991,1,,,12
gonzade01,1992,1,1,,
goodwda01,1986,1,35,,
